#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Dec 31 17:22:51 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       ALU_map.ncd
#OUTPUT FILE:      ALU_pad.csv
#PART TYPE:        xc6slx75
#SPEED GRADE:      -3
#PACKAGE:          csg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,StatusRegisterVelues<0>,IOB,IO_L83N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
A3,ALUAddr<31>,IOB,IO_L83P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
A4,InDecSP<1>,IOB,IO_L1N_VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A5,,IOBS,IO_L2N_0,UNUSED,,0,,,,,,,,,
A6,,IOBS,IO_L4N_0,UNUSED,,0,,,,,,,,,
A7,SetSR<1>,IOB,IO_L5N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
A8,,IOBS,IO_L6N_0,UNUSED,,0,,,,,,,,,
A9,,IOBS,IO_L8N_VREF_0,UNUSED,,0,,,,,,,,,
A10,,IOBS,IO_L34N_GCLK18_0,UNUSED,,0,,,,,,,,,
A11,,IOBS,IO_L35N_GCLK16_0,UNUSED,,0,,,,,,,,,
A12,,IOBS,IO_L36N_GCLK14_0,UNUSED,,0,,,,,,,,,
A13,,IOBS,IO_L48N_0,UNUSED,,0,,,,,,,,,
A14,,IOBS,IO_L50N_0,UNUSED,,0,,,,,,,,,
A15,,IOBS,IO_L62N_VREF_0,UNUSED,,0,,,,,,,,,
A16,,IOBS,IO_L63N_SCP6_0,UNUSED,,0,,,,,,,,,
A17,,IOBS,IO_L64N_SCP4_0,UNUSED,,0,,,,,,,,,
A18,,IOBS,IO_L66N_SCP0_0,UNUSED,,0,,,,,,,,,
A19,DataIO<9>,IOB,IO_L16P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
A20,DataIO<10>,IOB,IO_L16N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
A21,DataIO<6>,IOB,IO_L14N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
A22,,,GND,,,,,,,,,,,,
AA1,,,PROGRAM_B_2,,,,,,,,,,,,
AA2,B<0>,IOB,IO_L1P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AA3,,,VCCO_3,,,3,,,,,2.50,,,,
AA4,B<14>,IOB,IO_L12P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AA5,,,GND,,,,,,,,,,,,
AA6,PCSet<28>,IOB,IO_L64P_D8_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA7,,,VCCO_2,,,2,,,,,2.50,,,,
AA8,PCSet<22>,IOB,IO_L49P_D3_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA9,,,GND,,,,,,,,,,,,
AA10,PCSet<8>,IOB,IO_L32P_GCLK29_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA11,,,VCCO_2,,,2,,,,,2.50,,,,
AA12,PCSet<4>,IOB,IO_L30P_GCLK1_D13_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA13,,,GND,,,,,,,,,,,,
AA14,DecoderData<23>,IOB,IO_L15P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA15,,,VCCO_2,,,2,,,,,2.50,,,,
AA16,DecoderData<13>,IOB,IO_L4P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA17,,,GND,,,,,,,,,,,,
AA18,DecoderData<9>,IOB,IO_L2P_CMPCLK_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AA19,,,VCCO_1,,,1,,,,,2.50,,,,
AA20,A<13>,IOB,IO_L61P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
