#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Jan 17 23:28:46 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MemoryController_map.ncd
#OUTPUT FILE:      MemoryController_pad.csv
#PART TYPE:        xc6slx75
#SPEED GRADE:      -3
#PACKAGE:          csg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,IOBS,IO_L83N_VREF_3,UNUSED,,3,,,,,,,,,
A3,,IOBM,IO_L83P_3,UNUSED,,3,,,,,,,,,
A4,,IOBS,IO_L1N_VREF_0,UNUSED,,0,,,,,,,,,
A5,,IOBS,IO_L2N_0,UNUSED,,0,,,,,,,,,
A6,,IOBS,IO_L4N_0,UNUSED,,0,,,,,,,,,
A7,,IOBS,IO_L5N_0,UNUSED,,0,,,,,,,,,
A8,,IOBS,IO_L6N_0,UNUSED,,0,,,,,,,,,
A9,,IOBS,IO_L8N_VREF_0,UNUSED,,0,,,,,,,,,
A10,,IOBS,IO_L34N_GCLK18_0,UNUSED,,0,,,,,,,,,
A11,,IOBS,IO_L35N_GCLK16_0,UNUSED,,0,,,,,,,,,
A12,,IOBS,IO_L36N_GCLK14_0,UNUSED,,0,,,,,,,,,
A13,,IOBS,IO_L48N_0,UNUSED,,0,,,,,,,,,
A14,,IOBS,IO_L50N_0,UNUSED,,0,,,,,,,,,
A15,,IOBS,IO_L62N_VREF_0,UNUSED,,0,,,,,,,,,
A16,,IOBS,IO_L63N_SCP6_0,UNUSED,,0,,,,,,,,,
A17,,IOBS,IO_L64N_SCP4_0,UNUSED,,0,,,,,,,,,
A18,,IOBS,IO_L66N_SCP0_0,UNUSED,,0,,,,,,,,,
A19,InternalDataBus<16>,IOB,IO_L16P_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
A20,InternalDataBus<17>,IOB,IO_L16N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
A21,InternalDataBus<13>,IOB,IO_L14N_1,BIDIR,LVCMOS25*,1,12,SLOW,,NONE,,UNLOCATED,YES,NONE,
A22,,,GND,,,,,,,,,,,,
AA1,,,PROGRAM_B_2,,,,,,,,,,,,
AA2,InstructionBus<15>,IOB,IO_L1P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AA3,,,VCCO_3,,,3,,,,,2.50,,,,
AA4,InstructionBus<29>,IOB,IO_L12P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AA5,,,GND,,,,,,,,,,,,
AA6,,IOBM,IO_L64P_D8_2,UNUSED,,2,,,,,,,,,
AA7,,,VCCO_2,,,2,,,,,any******,,,,
AA8,,IOBM,IO_L49P_D3_2,UNUSED,,2,,,,,,,,,
AA9,,,GND,,,,,,,,,,,,
AA10,,IOBM,IO_L32P_GCLK29_2,UNUSED,,2,,,,,,,,,
AA11,,,VCCO_2,,,2,,,,,any******,,,,
AA12,,IOBM,IO_L30P_GCLK1_D13_2,UNUSED,,2,,,,,,,,,
AA13,,,GND,,,,,,,,,,,,
